BaseCode,SectionBreakStartKM,SectionBreakFinishKM
ARTC-12,206.18,206.2
ARTC-12,206.2,206.22
ARTC-12,206.22,206.24
ARTC-12,206.24,206.26
ARTC-12,206.26,206.28
ARTC-12,206.28,206.3
ARTC-12,206.3,206.32
ARTC-12,206.32,206.34
ARTC-12,206.34,206.36
ARTC-12,206.36,206.38
ARTC-12,206.38,206.4
ARTC-12,206.4,206.42
ARTC-12,206.42,206.44
ARTC-12,206.44,206.46
ARTC-12,206.46,206.48
ARTC-12,206.48,206.5
ARTC-12,206.5,206.52
ARTC-12,206.52,206.54
ARTC-12,206.54,206.56
ARTC-12,206.56,206.58
ARTC-12,206.58,206.6
ARTC-12,206.6,206.62
ARTC-12,206.62,206.64
ARTC-12,206.64,206.66
ARTC-12,206.66,206.68
ARTC-12,206.68,206.7
ARTC-12,206.7,206.72
ARTC-12,206.72,206.74
ARTC-12,206.74,206.76
ARTC-12,206.76,206.78
ARTC-12,206.78,206.8
ARTC-12,206.8,206.82
ARTC-12,206.82,206.84
ARTC-12,206.84,206.86
ARTC-12,206.86,206.88
ARTC-12,206.88,206.9
ARTC-12,206.9,206.92
ARTC-12,206.92,206.94
ARTC-12,206.94,206.96
ARTC-12,206.96,206.98
ARTC-12,206.98,207
ARTC-12,207,207.02
ARTC-12,207.02,207.04
ARTC-12,207.04,207.06
ARTC-12,207.06,207.08
ARTC-12,207.08,207.1
ARTC-12,207.1,207.12
ARTC-12,207.12,207.14
ARTC-12,207.14,207.16
ARTC-12,207.16,207.18
ARTC-12,207.18,207.2
ARTC-12,207.2,207.22
ARTC-12,207.22,207.24
ARTC-12,207.24,207.26
ARTC-12,207.26,207.28
ARTC-12,207.28,207.3
ARTC-12,207.3,207.32
ARTC-12,207.32,207.34
ARTC-12,207.34,207.36
ARTC-12,207.36,207.38
ARTC-12,207.38,207.4
ARTC-12,207.4,207.42
ARTC-12,207.42,207.44
ARTC-12,207.44,207.46
ARTC-12,207.46,207.48
ARTC-12,207.48,207.5
ARTC-12,207.5,207.52
ARTC-12,207.52,207.54
ARTC-12,207.54,207.56
ARTC-12,207.56,207.58
ARTC-12,207.58,207.6
ARTC-12,207.6,207.62
ARTC-12,207.62,207.64
ARTC-12,207.64,207.66
ARTC-12,207.66,207.68
ARTC-12,207.68,207.7
ARTC-12,207.7,207.72
ARTC-12,207.72,207.74
ARTC-12,207.74,207.76
ARTC-12,207.76,207.78
ARTC-12,207.78,207.8
ARTC-12,207.8,207.82
ARTC-12,207.82,207.84
ARTC-12,207.84,207.86
ARTC-12,207.86,207.88
ARTC-12,207.88,207.9
ARTC-12,207.9,207.92
ARTC-12,207.92,207.94
ARTC-12,207.94,207.96
ARTC-12,207.96,207.98
ARTC-12,207.98,208
ARTC-12,208,208.02
ARTC-12,208.02,208.04
ARTC-12,208.04,208.06
ARTC-12,208.06,208.08
ARTC-12,208.08,208.1
ARTC-12,208.1,208.12
ARTC-12,208.12,208.14
ARTC-12,208.14,208.16
ARTC-12,208.16,208.18
ARTC-12,208.18,208.2
ARTC-12,208.2,208.22
ARTC-12,208.22,208.24
ARTC-12,208.24,208.26
ARTC-12,208.26,208.28
ARTC-12,208.28,208.3
ARTC-12,208.3,208.32
ARTC-12,208.32,208.34
ARTC-12,208.34,208.36
ARTC-12,208.36,208.38
ARTC-12,208.38,208.4
ARTC-12,208.4,208.42
ARTC-12,208.42,208.44
ARTC-12,208.44,208.46
ARTC-12,208.46,208.48
ARTC-12,208.48,208.5
ARTC-12,208.5,208.52
ARTC-12,208.52,208.54
ARTC-12,208.54,208.56
ARTC-12,208.56,208.58
ARTC-12,208.58,208.6
ARTC-12,208.6,208.62
ARTC-12,208.62,208.64
ARTC-12,208.64,208.66
ARTC-12,208.66,208.68
ARTC-12,208.68,208.7
ARTC-12,208.7,208.72
ARTC-12,208.72,208.74
ARTC-12,208.74,208.76
ARTC-12,208.76,208.78
ARTC-12,208.78,208.8
ARTC-12,208.8,208.82
ARTC-12,208.82,208.84
ARTC-12,208.84,208.86
ARTC-12,208.86,208.88
ARTC-12,208.88,208.9
ARTC-12,208.9,208.92
ARTC-12,208.92,208.94
ARTC-12,208.94,208.96
ARTC-12,208.96,208.98
ARTC-12,208.98,209
ARTC-12,209,209.02
ARTC-12,209.02,209.04
ARTC-12,209.04,209.06
ARTC-12,209.06,209.08
ARTC-12,209.08,209.1
ARTC-12,209.1,209.12
ARTC-12,209.12,209.14
ARTC-12,209.14,209.16
ARTC-12,209.16,209.18
ARTC-12,209.18,209.2
ARTC-12,209.2,209.22
ARTC-12,209.22,209.24
ARTC-12,209.24,209.26
ARTC-12,209.26,209.28
ARTC-12,209.28,209.3
ARTC-12,209.3,209.32
ARTC-12,209.32,209.34
ARTC-12,209.34,209.36
ARTC-12,209.36,209.38
ARTC-12,209.38,209.4
ARTC-12,209.4,209.42
ARTC-12,209.42,209.44
ARTC-12,209.44,209.46
ARTC-12,209.46,209.48
ARTC-12,209.48,209.5
ARTC-12,209.5,209.52
ARTC-12,209.52,209.54
ARTC-12,209.54,209.56
ARTC-12,209.56,209.58
ARTC-12,209.58,209.6
ARTC-12,209.6,209.62
ARTC-12,209.62,209.64
ARTC-12,209.64,209.66
ARTC-12,209.66,209.68
ARTC-12,209.68,209.7
ARTC-12,209.7,209.72
ARTC-12,209.72,209.74
ARTC-12,209.74,209.76
ARTC-12,209.76,209.78
ARTC-12,209.78,209.8
ARTC-12,209.8,209.82
ARTC-12,209.82,209.84
ARTC-12,209.84,209.86
ARTC-12,209.86,209.88
ARTC-12,209.88,209.9
ARTC-12,209.9,209.92
ARTC-12,209.92,209.94
ARTC-12,209.94,209.96
ARTC-12,209.96,209.98
ARTC-12,209.98,210
ARTC-12,210,210.02
ARTC-12,210.02,210.04
ARTC-12,210.04,210.06
ARTC-12,210.06,210.08
ARTC-12,210.08,210.1
ARTC-12,210.1,210.12
ARTC-12,210.12,210.14
ARTC-12,210.14,210.16
ARTC-12,210.16,210.18
ARTC-12,210.18,210.2
ARTC-12,210.2,210.22
ARTC-12,210.22,210.24
ARTC-12,210.24,210.26
ARTC-12,210.26,210.28
ARTC-12,210.28,210.3
ARTC-12,210.3,210.32
ARTC-12,210.32,210.34
ARTC-12,210.34,210.36
ARTC-12,210.36,210.38
ARTC-12,210.38,210.4
ARTC-12,210.4,210.42
ARTC-12,210.42,210.44
ARTC-12,210.44,210.46
ARTC-12,210.46,210.48
ARTC-12,210.48,210.5
ARTC-12,210.5,210.52
ARTC-12,210.52,210.54
ARTC-12,210.54,210.56
ARTC-12,210.56,210.58
ARTC-12,210.58,210.6
ARTC-12,210.6,210.62
ARTC-12,210.62,210.64
ARTC-12,210.64,210.66
ARTC-12,210.66,210.68
ARTC-12,210.68,210.7
ARTC-12,210.7,210.72
ARTC-12,210.72,210.74
ARTC-12,210.74,210.76
ARTC-12,210.76,210.78
ARTC-12,210.78,210.8
ARTC-12,210.8,210.82
ARTC-12,210.82,210.84
ARTC-12,210.84,210.86
ARTC-12,210.86,210.88
ARTC-12,210.88,210.9
ARTC-12,210.9,210.92
ARTC-12,210.92,210.94
ARTC-12,210.94,210.96
ARTC-12,210.96,210.98
ARTC-12,210.98,211
ARTC-12,211,211.02
ARTC-12,211.02,211.04
ARTC-12,211.04,211.06
ARTC-12,211.06,211.08
ARTC-12,211.08,211.1
ARTC-12,211.1,211.12
ARTC-12,211.12,211.14
ARTC-12,211.14,211.16
ARTC-12,211.16,211.18
ARTC-12,211.18,211.2
ARTC-12,211.2,211.22
ARTC-12,211.22,211.24
ARTC-12,211.24,211.26
ARTC-12,211.26,211.28
ARTC-12,211.28,211.3
ARTC-12,211.3,211.32
ARTC-12,211.32,211.34
